,spotify_rank,song_name,artist,spotify_stream_count,peak_rank,previous_rank,streak_list,list_date
70,71,deja vu,Olivia Rodrigo,"321,977",2,74,81,03/16/2022
71,72,Light Switch,Charlie Puth,"321,465",6,71,56,03/16/2022
72,73,Bad Habits,Ed Sheeran,"320,467",7,78,81,03/16/2022
73,74,YKWIM?,Yot Club,"319,452",58,73,81,03/16/2022
74,75,Money Trees,"Kendrick Lamar, Jay Rock","317,382",59,79,81,03/16/2022
75,76,Revenge,XXXTENTACION,"316,698",16,80,21,03/16/2022
76,77,Space Song,Beach House,"316,611",55,76,81,03/16/2022
77,78,Dandelions,Ruth B.,"316,480",66,77,74,03/16/2022
78,79,Freaks,Surf Curse,"316,216",29,75,81,03/16/2022
79,80,The Spins,Mac Miller,"315,634",54,83,81,03/16/2022
80,81,Cigarettes,Juice WRLD,"313,334",2,81,43,03/16/2022
81,82,"OPEN A WINDOW (feat. Tyler, The Creator)","Rex Orange County, Tyler, The Creator","310,460",10,61,8,03/16/2022
82,83,Pepas,Farruko,"308,164",16,82,236,03/16/2022
83,84,Pursuit Of Happiness (Nightmare),"Kid Cudi, MGMT, Ratatat","305,963",47,84,81,03/16/2022
84,85,Lucid Dreams,Juice WRLD,"301,452",1,89,81,03/16/2022
85,86,Mr. Brightside,The Killers,"300,917",35,96,81,03/16/2022
86,87,Freaky Deaky,"Tyga, Doja Cat","300,298",9,88,20,03/16/2022
87,88,Yonaguni,Bad Bunny,"299,741",3,93,81,03/16/2022
88,89,Alien Blues,Vundabar,"297,438",27,91,81,03/16/2022
89,90,2055,Sleepy Hallow,"296,914",7,92,269,03/16/2022
90,91,Sky,Playboi Carti,"295,683",25,85,179,03/16/2022
91,92,Jugaste y Sufrí,"Eslabon Armado, DannyLux","294,443",22,97,81,03/16/2022
92,93,Bound 2,Kanye West,"293,582",86,95,38,03/16/2022
93,94,Me or Sum (feat. Future & Lil Baby),"Nardo Wick, Future, Lil Baby","292,190",60,94,66,03/16/2022
94,95,All Girls Are The Same,Juice WRLD,"289,586",5,100,81,03/16/2022
95,96,Ain't Shit,Doja Cat,"289,373",4,113,81,03/16/2022
96,97,drivers license,Olivia Rodrigo,"289,307",1,98,81,03/16/2022
97,98,All For Us,"Labrinth, Zendaya","288,753",30,87,58,03/16/2022
98,99,Fair Trade (with Travis Scott),"Drake, Travis Scott","288,228",2,99,81,03/16/2022
99,100,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande","287,512",2,101,30,03/16/2022
100,101,What Happened To Virgil (feat. Gunna),"Lil Durk, Gunna","286,031",55,86,6,03/16/2022
