,song_ID,rank,date_retrieved,provider_ID
0,88,1.0,03/16/2022,1
1,192,2.0,03/16/2022,1
2,221,3.0,03/16/2022,1
3,183,4.0,03/16/2022,1
4,167,5.0,03/16/2022,1
5,98,6.0,03/16/2022,1
6,250,7.0,03/16/2022,1
7,59,8.0,03/16/2022,1
8,105,9.0,03/16/2022,1
9,196,10.0,03/16/2022,1
10,94,11.0,03/16/2022,1
11,209,12.0,03/16/2022,1
12,136,13.0,03/16/2022,1
13,27,14.0,03/16/2022,1
14,230,15.0,03/16/2022,1
15,76,16.0,03/16/2022,1
16,245,17.0,03/16/2022,1
17,197,18.0,03/16/2022,1
18,39,19.0,03/16/2022,1
19,45,20.0,03/16/2022,1
20,239,21.0,03/16/2022,1
21,143,22.0,03/16/2022,1
22,134,23.0,03/16/2022,1
23,194,24.0,03/16/2022,1
24,6,25.0,03/16/2022,1
25,195,26.0,03/16/2022,1
26,174,27.0,03/16/2022,1
27,119,28.0,03/16/2022,1
28,114,29.0,03/16/2022,1
29,146,30.0,03/16/2022,1
30,243,31.0,03/16/2022,1
31,103,32.0,03/16/2022,1
32,129,33.0,03/16/2022,1
33,210,34.0,03/16/2022,1
34,57,35.0,03/16/2022,1
35,28,36.0,03/16/2022,1
36,163,37.0,03/16/2022,1
37,16,38.0,03/16/2022,1
38,20,39.0,03/16/2022,1
39,82,40.0,03/16/2022,1
40,171,41.0,03/16/2022,1
41,121,42.0,03/16/2022,1
42,148,43.0,03/16/2022,1
43,96,44.0,03/16/2022,1
44,145,45.0,03/16/2022,1
45,130,46.0,03/16/2022,1
46,255,47.0,03/16/2022,1
47,108,48.0,03/16/2022,1
48,133,49.0,03/16/2022,1
49,151,50.0,03/16/2022,1
50,215,51.0,03/16/2022,1
51,85,52.0,03/16/2022,1
52,21,53.0,03/16/2022,1
53,200,54.0,03/16/2022,1
54,92,55.0,03/16/2022,1
55,126,56.0,03/16/2022,1
56,68,57.0,03/16/2022,1
57,182,58.0,03/16/2022,1
58,251,59.0,03/16/2022,1
